Time,Power
1064.44,1095879.11
1065.44,1095879.11
1066.44,1095879.11
1067.44,1095879.11
1068.44,1095879.11
1069.44,1095879.11
1070.44,1095879.11
1071.44,1095879.11
1072.44,1095879.11
1073.44,1095879.11
1074.44,1095879.11
1075.44,1095879.11
1076.44,1095879.11
1077.44,1095879.11
1078.44,1095879.11
1079.44,1095879.11
1080.44,1095879.11
1081.44,1095879.11
1082.44,1095879.11
1083.44,1095879.11
1084.44,1095879.11
1085.44,1095879.11
1086.44,1095879.11
1087.44,1095879.11
1088.44,1095879.11
1089.44,1095879.11
1090.44,1095879.11
1091.44,1095879.11
1092.44,1095879.11
1093.44,1095879.11
1094.44,1095879.11
1095.44,1095879.11
1096.44,1095879.11
1097.44,1095879.11
1098.44,1095879.11
1099.44,1095879.11
1100.44,1095879.11
1101.44,1095879.11
1102.44,1095879.11
1103.44,1095879.11
1104.44,1095879.11
1105.44,1095879.11
1106.44,1095879.11
1107.44,1095879.11
1108.44,1095879.11
1109.44,1095879.11
1110.44,1095879.11
1111.44,1095879.11
1112.44,1095879.11
1113.44,1095879.11
1114.44,1095879.11
1115.44,1095879.11
1116.44,1095879.11
1117.44,1095879.11
1118.44,1095879.11
1119.44,1095879.11
1120.44,1095879.11
1121.44,1095879.11
1122.44,1095879.11
1123.44,1095879.11
1124.44,1095879.11
1125.44,1095879.11
1126.44,1095879.11
1127.44,1095879.11
1128.44,1095879.11
1129.44,1095879.11
1130.44,1095879.11
1131.44,1095879.11
1132.44,1095879.11
1133.44,1095879.11
1134.44,1095879.11
1135.44,1095879.11
1136.44,1095879.11
1137.44,1095879.11
1138.44,1095879.11
1138.89,1222235.42
1139.89,1222235.42
1140.89,1222235.42
1141.89,1222235.42
1142.89,1222235.42
1143.89,1222235.42
1144.89,1222235.42
1145.89,1222235.42
1146.89,1222235.42
1147.89,1222235.42
1148.89,1222235.42
1149.89,1222235.42
1150.89,1222235.42
1151.89,1222235.42
1152.89,1222235.42
1153.89,1222235.42
1154.89,1222235.42
1155.89,1222235.42
1156.89,1222235.42
1157.89,1222235.42
1158.89,1222235.42
1159.89,1222235.42
1160.89,1222235.42
1161.89,1222235.42
1162.89,1222235.42
1163.89,1222235.42
1164.89,1222235.42
1165.89,1222235.42
1166.89,1222235.42
1167.89,1222235.42
1168.89,1222235.42
1169.89,1222235.42
1170.89,1222235.42
1171.89,1222235.42
1172.89,1222235.42
1173.89,1222235.42
1174.89,1222235.42
1175.89,1222235.42
1176.89,1222235.42
1177.89,1222235.42
1178.89,1222235.42
1179.89,1222235.42
1180.89,1222235.42
1181.89,1222235.42
1182.89,1222235.42
1183.89,1222235.42
1184.89,1222235.42
1185.89,1222235.42
1186.89,1222235.42
1187.89,1222235.42
1188.89,1222235.42
1189.89,1222235.42
1190.89,1222235.42
1191.89,1222235.42
1192.89,1222235.42
1193.89,1222235.42
1194.89,1222235.42
1195.89,1222235.42
1196.89,1222235.42
1197.89,1222235.42
1198.89,1222235.42
1199.89,1222235.42
1200.89,1222235.42
1201.89,1222235.42
1202.89,1222235.42
1203.89,1222235.42
1204.89,1222235.42
1205.89,1222235.42
1206.89,1222235.42
1207.89,1222235.42
1208.89,1222235.42
1209.89,1222235.42
1210.89,1222235.42
1211.89,1222235.42
1212.89,1222235.42
1213.89,1222235.42
1214.89,1222235.42
1215.89,1222235.42
1216.89,1222235.42
1217.89,1222235.42
1218.89,1222235.42
1219.89,1222235.42
1220.89,1222235.42
1221.89,1222235.42
1222.89,1222235.42
1223.89,1222235.42
1224.89,1222235.42
1225.89,1222235.42
1226.89,1222235.42
1227.89,1222235.42
1228.89,1222235.42
1229.89,1222235.42
1230.89,1222235.42
1231.89,1222235.42
1232.89,1222235.42
1233.89,1222235.42
1234.89,1222235.42
1235.89,1222235.42
1236.89,1222235.42
1237.89,1222235.42
1238.89,1222235.42
1239.89,1222235.42
1240.89,1222235.42
1241.89,1222235.42
1242.89,1222235.42
1243.89,1222235.42
1244.89,1222235.42
1245.89,1222235.42
1246.89,1222235.42
1247.89,1222235.42
1248.89,1222235.42
1249.89,1222235.42
1250.89,1222235.42
1251.89,1222235.42
1252.89,1222235.42
1253.89,1222235.42
1254.89,1222235.42
1255.89,1222235.42
1256.89,1222235.42
1257.89,1222235.42
1258.89,1095879.11
1259.89,1095879.11
1260.89,1095879.11
1261.89,1095879.11
1262.89,1095879.11
1263.89,1095879.11
1264.89,1095879.11
1265.89,1095879.11
1266.89,1095879.11
1267.89,1095879.11
1268.89,1095879.11
1269.89,1095879.11
1270.89,1095879.11
1271.89,1095879.11
1272.89,1095879.11
1273.89,1095879.11
1274.89,1095879.11
1275.89,1095879.11
1276.89,1095879.11
1277.89,1095879.11
1278.89,1095879.11
1279.89,1095879.11
1280.89,1095879.11
1281.89,1095879.11
1282.89,1095879.11
1283.89,1095879.11
1284.89,1095879.11
1285.89,1095879.11
1286.89,1095879.11
1287.89,1095879.11
1288.89,1095879.11
1289.89,1095879.11
1290.89,1095879.11
1291.89,1095879.11
1292.89,1095879.11
1293.89,1095879.11
1294.89,1095879.11
1295.89,1095879.11
1296.89,1095879.11
1297.89,1095879.11
1298.89,1095879.11
1299.89,1095879.11
1300.89,1095879.11
1301.89,1095879.11
1302.89,1095879.11
1303.89,1095879.11
1304.89,1095879.11
1305.89,1095879.11
1306.89,1095879.11
1307.89,1095879.11
1308.89,1095879.11
1309.89,1095879.11
1310.89,1095879.11
1311.89,1095879.11
1312.89,1095879.11
1313.89,1095879.11
1314.89,1095879.11
1315.89,1095879.11
1316.89,1095879.11
1317.89,1095879.11
1318.89,1095879.11
1319.89,1095879.11
1320.89,1095879.11
1321.89,1095879.11
1322.89,1095879.11
1323.89,1095879.11
1324.89,1095879.11
1325.89,1095879.11
1326.89,1095879.11
1327.89,1095879.11
1328.89,1095879.11
1329.89,1095879.11
1330.89,1095879.11
1331.89,1095879.11
1332.89,1095879.11
1333.89,1095879.11
1334.89,1095879.11
1335.89,1095879.11
1336.89,1095879.11
1337.89,1095879.11
1338.89,1095879.11
1339.89,1095879.11
1340.89,1095879.11
1341.89,1095879.11
1342.89,1095879.11
1343.89,1095879.11
1344.89,1095879.11
1345.89,1095879.11
1346.89,1095879.11
1347.89,1095879.11
1348.89,1095879.11
1349.89,1095879.11
1350.89,1095879.11
1351.89,1095879.11
1352.89,1095879.11
1353.89,1095879.11
1354.89,1095879.11
1355.89,1095879.11
1356.89,1095879.11
1357.89,1095879.11
1358.89,1095879.11
1359.89,1095879.11
1360.89,1095879.11
1361.89,1095879.11
1362.89,1095879.11
1363.89,1095879.11
1364.89,1095879.11
1365.89,1095879.11
1366.89,1095879.11
1367.89,1095879.11
1368.89,1095879.11
1369.89,1095879.11
1370.89,1095879.11
1371.89,1095879.11
1372.89,1095879.11
1373.89,1095879.11
1374.89,1095879.11
1375.89,1095879.11
1376.89,1095879.11
1377.89,1095879.11
